CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,SupportTickets,LoginFrequency,AvgSessionTime,LastActivityDays,SatisfactionScore,Churn
100000,Male,61,15,871,13065,Yearly,Credit Card,4,1,72.91,28,4,Yes
100001,Male,53,5,2369,11845,Monthly,Debit Card,1,1,30.35,29,4,Yes
100002,Female,35,36,2031,73116,Monthly,UPI,0,26,115.08,89,3,Yes
100003,Female,56,44,1770,77880,Quarterly,Credit Card,1,4,88.92,12,7,No
100004,Female,54,69,1500,103500,Monthly,Credit Card,6,4,10.27,70,2,Yes
100005,Female,35,30,713,21390,Quarterly,Bank Transfer,4,25,23.71,29,2,No
100006,Male,56,46,2954,135884,Yearly,UPI,10,7,66.43,89,5,No
100007,Male,61,32,2921,93472,Quarterly,Credit Card,7,6,31.34,34,7,No
100008,Male,54,5,571,2855,Yearly,Bank Transfer,5,26,29.45,34,7,No
100009,Male,33,64,1384,88576,Yearly,Bank Transfer,10,13,90.91,18,8,No
100010,Male,50,55,1198,65890,Quarterly,Credit Card,9,29,91.91,46,7,No
100011,Male,42,15,2029,30435,Quarterly,Debit Card,10,5,65.85,87,3,Yes
100012,Female,67,71,2499,177429,Yearly,Bank Transfer,0,28,17.83,87,2,Yes
100013,Male,50,56,2350,131600,Monthly,Bank Transfer,7,6,101.79,33,1,Yes
100014,Male,56,65,961,62465,Quarterly,Debit Card,3,20,7.24,47,3,Yes
100015,Male,23,47,1286,60442,Yearly,Debit Card,4,29,98.84,7,4,No
100016,Male,34,69,2246,154974,Yearly,Debit Card,2,25,115.9,84,3,Yes
100017,Female,46,70,2961,207270,Yearly,Debit Card,3,25,18.92,51,5,No
100018,Male,55,29,2568,74472,Monthly,Credit Card,5,3,13.16,75,1,Yes
100019,Male,35,8,590,4720,Yearly,Debit Card,1,8,29.64,42,1,Yes
100020,Female,69,17,1295,22015,Quarterly,UPI,9,24,15.85,60,10,No
100021,Male,21,56,521,29176,Quarterly,Bank Transfer,6,12,97.07,59,7,No
100022,Male,45,14,2137,29918,Monthly,Bank Transfer,3,8,58.2,68,4,Yes
100023,Male,23,10,2971,29710,Monthly,UPI,8,15,51.74,6,2,Yes
100024,Male,42,62,1852,114824,Quarterly,Debit Card,6,7,37.8,21,1,Yes
